phi,psi,end_state,energy,caspt2_energy,caspt2_root,ms_caspt2_energy,ms_caspt2_root,ms_caspt2_highest_occupation,ms_caspt2_occupation_weight,ms_caspt2_occupation_coeff,config,coeff,weight,dipole moment,start_state,caspt2_energy_difference_ev,ms_caspt2_energy_difference_ev,dx_debyes,dy_debyes,dz_debyes,totald_debyes,transition,energy_difference_eV
225,165,2,-453.749345,-455.1695494957,2,-455.16960631,2.0,222u220d,0.920234,-0.959289,222u220d,-0.96145,0.92439,3.3024,1,5.804342156186947,5.892829762245763,0.0474344368874791,0.031542926019682,-0.1582477435850514,0.1681883776076613,n_to_pi_*_L,5.745496630199803
225,165,3,-453.731514,-455.1660741015,3,-455.16617464,3.0,22u222d0,0.87607,-0.935986,22u222d0,-0.94205,0.88746,3.8683,1,5.898912497920697,5.9862103072837,0.0492053210524175,0.0203181339717782,0.2521230488288398,0.2576820178113944,n_to_pi_*_R,6.230703103599831
225,165,4,-453.647504,-455.1288140217,4,-455.13493211,5.0,2222u2d0,0.795083,0.891674,2222u2d0,0.65374,0.42737,2.1651,1,6.912811433389819,6.836363288125316,1.8524021212028792,2.007102379935749,-0.0359722187487292,2.7315101307388883,pi_nb_to_pi_*_R,8.51673281759923
225,165,5,-453.636561,-455.1183394232,5,-455.13493211,5.0,2222u2d0,0.795083,0.891674,2222u2d0,0.58829,0.34609,2.4798,1,7.197839923013398,6.836363288125316,0.7849959690537189,2.6269030844617958,-0.5654515193566753,2.799388139969908,pi_nb_to_pi_*_R,8.81450716780071
225,165,6,-453.625102,-455.1302986061,6,-455.13943831,4.0,22222u0d,0.833436,0.912927,22222u0d,0.76891,0.59123,3.0259,1,6.872413813448336,6.713743277445854,2.8853199087064376,-2.631480927981782,0.2471707263328047,3.912908914846896,pi_nb_to_pi_*_L,9.12632260039922
225,180,1,-453.960545,-455.3827435636,1,-455.38629501,1.0,22222200,0.943528,0.971354,22222200,0.96364,0.92859,3.3913,1,0.0,0.0,,,,,GROUND,0.0
225,180,2,-453.750467,-455.1706443922,2,-455.17073001,2.0,222u22d0,0.917445,0.957833,222u22d0,0.96064,0.92282,3.3478,1,5.771515392633532,5.86582544100072,-0.0671826420235045,-0.0292641248322557,0.149874307165223,0.1668298663637103,n_to_pi_*_L,5.716516489200272
225,180,3,-453.732164,-455.1652519863,3,-455.16531152,3.0,22u2220d,0.891222,0.944046,22u2220d,0.94585,0.89463,3.9389,1,5.918250306541091,6.013270139787017,0.0046454756313285,-0.0285498386096539,0.2314581927839453,0.2332585877455166,n_to_pi_*_R,6.214566743400355
225,180,4,-453.647416,-455.1310861799,4,-455.13547503,5.0,2222u20d,0.681651,0.825622,2222u20d,0.6898,0.47582,2.1786,1,6.847949730813588,6.825162803772464,-1.610608037493392,-2.0123846198812574,-0.5051335930828352,2.626577635110406,pi_nb_to_pi_*_R,8.520678470600096
225,180,5,-453.63423,-455.1107057004,5,-455.13547503,5.0,2222u20d,0.681651,0.825622,2222u20d,0.56735,0.32189,4.02,1,7.4025311106808065,6.825162803772464,-1.5524595812492374,-2.586949036232768,0.0581427875035582,3.017584583790818,pi_nb_to_pi_*_R,8.879487991000609
