Phi,Psi,end_state,Energy,CASPT2_Energy,MS_CASPT2_Energy,MS_CASPT2_Highest_Occupation,MS_CASPT2_Occupation_Weight,MS_CASPT2_Occupation_Coeff,Config,Coeff,Weight,Dipole Moment,start_state,CASPT2_Energy_Difference_eV,MS_CASPT2_Energy_Difference_eV,Dx_Debyes,Dy_Debyes,Dz_Debyes,TotalD_Debyes
15,270,7,-453.594973,-455.0545004503,-455.05282586,222u220d,0.601273,0.775418,222u220d,0.70749,0.50054,7.8032,1,8.627322235678973,8.738859475799899,-0.5661134078524664,0.07936385593306496,0.5675951237241268,0.8055726129478266
15,285,1,-453.946592,-455.3706178482,-455.37243074,22222200,0.928157,0.963409,22222200,0.9604,0.92237,4.5242,1,0.0,0.0,,,,
15,285,2,-453.747918,-455.1730915748,-455.17391603,2222u20d,0.835003,-0.913785,2222u20d,-0.94158,0.88658,3.6955,1,5.374966435996792,5.401863179695099,-0.3490811221585133,0.05031308507177423,-0.06672148067382376,0.35894399627912654
15,285,3,-453.725111,-455.1628497794,-455.16315621,22u222d0,0.729702,0.854226,22u222d0,0.88586,0.78474,3.1671,1,5.653660027344903,5.694652945642437,0.08237106842950673,0.0711791679374568,0.2217817811902729,0.24705996299459154
15,285,4,-453.641853,-455.1314166899,-455.12812616,222u22d0,0.508707,-0.713237,222u22d0,0.70079,0.49111,4.0161,1,6.508998398965544,6.647869648212136,-2.4917299367654833,0.4671588360579074,-3.010843397991135,3.936004762921394
15,285,5,-453.627887,-455.1300092711,-455.13623814,22222u0d,0.635265,-0.797035,22222u0d,-0.78271,0.61264,3.5772,1,6.547296234899851,6.427131315641036,2.8636611463543575,-0.29004158787767886,-0.7240403679191574,2.967981426131512
15,285,6,-453.611965,-455.0803935634,-455.07618245,22222ud0,0.742183,-0.861501,22222ud0,-0.79641,0.63427,8.3522,1,7.897409103407997,8.061330718507387,-2.1058143528120046,0.5423530687039974,-1.0898477720507505,2.4323587542190235
15,285,7,-453.593994,-455.0599149253,-455.05824392,2222u2d0,0.690004,0.830665,2222u2d0,0.81519,0.66453,9.8769,1,8.454661516201616,8.549463233748863,0.8990401035948112,-0.6896193551502582,-0.2567653994347526,1.1617987932576959
15,300,1,-453.94346,-455.3707497212,-455.37287258,22222200,0.93214,0.965474,22222200,0.96179,0.92504,4.8049,1,0.0,0.0,,,,
15,300,2,-453.741884,-455.1697312226,-455.17043598,2222u2d0,0.855097,0.924714,2222u2d0,0.95031,0.90308,3.9942,1,5.469994772805004,5.508583297239963,0.3059986605872067,-0.047200352008865035,-0.022176405493879878,0.31041077274206014
15,300,3,-453.718151,-455.1598220395,-455.16006701,22u2220d,0.83925,0.916106,22u2220d,0.93259,0.86972,3.4182,1,5.739637517811751,5.790737487498013,-0.0691340081228905,-0.05421734984343866,-0.20132619505103494,0.21966171465170184
15,300,4,-453.644674,-455.1365547961,-455.12706873,222u220d,0.493204,0.702285,222u220d,-0.66558,0.443,3.0743,1,6.372771784867269,6.688666883888881,-2.4001346427554795,0.07340269992070271,-2.20616830598593,3.260860756984263
15,300,5,-453.623857,-455.117646308,-455.14171011,22222ud0,0.536267,-0.732302,22222ud0,-0.67873,0.46067,3.0863,1,6.887298217950331,6.290254436156868,2.144337506608109,-0.19200387819730796,-0.8654016967589769,2.3203381064210484
15,300,5,-453.623857,-455.117646308,-455.08725784,22222u0d,0.786615,0.886913,22222u0d,-0.61895,0.3831,3.0863,1,6.887298217950331,7.77197693603522,2.144337506608109,-0.19200387819730796,-0.8654016967589769,2.3203381064210484
15,300,6,-453.619071,-455.1024126711,-455.08725784,22222u0d,0.786615,0.886913,22222u0d,0.62589,0.39174,4.0474,1,7.301826805091176,7.77197693603522,-3.5834426721158152,-0.07937347454353219,-1.6984123713960393,3.966354255621976
15,300,7,-453.598627,-455.0683147189,-455.06581923,2222u20d,0.729557,-0.854141,2222u20d,-0.80077,0.64124,9.5952,1,8.22967982158625,8.35535152818972,1.1310444268228215,-0.8300476902118662,-0.19809223242243099,1.4168560957260787
15,315,1,-453.941734,-455.3714039692,-455.37343957,22222200,0.933706,0.966285,22222200,0.96186,0.92518,5.1143,1,0.0,0.0,,,,
15,315,2,-453.734194,-455.1636702408,-455.16409386,2222u2d0,0.87325,0.934478,2222u2d0,0.9536,0.90935,4.1526,1,5.652725576983785,5.696589853094991,-0.21281654060428615,0.04949349330039446,0.11479914094587453,0.24681841222398443
15,315,3,-453.712931,-455.1570700895,-455.15719284,22u2220d,0.871412,0.933494,22u2220d,0.94154,0.88649,3.7614,1,5.832324934068769,5.884376268722627,0.024102786791915742,-0.0017371456274653328,0.1977487228559229,0.19921977654426418
15,315,4,-453.643781,-455.1369350834,-455.12541826,222u220d,0.51813,-0.719813,222u220d,0.63594,0.40442,2.4291,1,6.380226639058849,6.749007074934349,-1.1593701786222603,-0.38019087267699564,0.16001844628115977,1.2305649983733886
15,315,5,-453.626447,-455.0858320009,-455.08495138,22222u0d,0.808689,-0.899272,22222u0d,-0.86507,0.74834,9.1845,1,7.770813058199133,7.850167533366261,1.5699725560164288,-0.3024170860274084,-0.8213179999796674,1.7974518573868488
15,315,6,-453.617271,-455.1293844347,-455.14275814,22222ud0,0.522395,0.722769,22222ud0,0.80857,0.65379,4.436,1,6.585690361093367,6.277164664302114,-4.952217427107479,-0.5454298218860559,-2.0592221188646254,5.390950449351389
15,315,7,-453.602555,-455.0734227114,-455.06986448,2222u20d,0.737977,-0.859056,2222u20d,-0.79662,0.6346,9.3293,1,8.108487198499406,8.260703204027035,-1.1852802473465902,0.7656852634093775,0.20059611392379328,1.4252726022731894
15,330,1,-453.94094,-455.3716295976,-455.37370619,22222200,0.935572,0.96725,22222200,0.96191,0.92528,5.287,1,0.0,0.0,,,,
15,330,2,-453.726671,-455.1565016523,-455.15701385,22u222d0,0.68166,-0.825627,22u222d0,-0.95423,0.91056,4.1964,1,5.853932570737118,5.896501940676237,0.10598114071204913,-0.009877624435769184,-0.1522018878858119,0.18572825398519788
15,330,3,-453.710396,-455.1556970685,-455.15540639,222u220d,0.67476,-0.821438,222u220d,-0.94483,0.8927,4.0052,1,5.875826422352557,5.940243177720304,-0.03269851749623846,-0.03753565887926478,0.2016772177829287,0.2077301586454394
15,330,4,-453.6405,-455.1342029945,-455.12123316,2222u20d,0.480663,0.693299,2222u20d,-0.66886,0.44738,1.9687,1,6.460710267595469,6.870144608542894,-1.671091618884958,-0.5805376026798422,-0.31825281607092026,1.7974581935464193
15,330,5,-453.629022,-455.0889433398,-455.08721677,22222u0d,0.851443,-0.922737,22222u0d,-0.85783,0.73586,8.8566,1,7.6922888354999355,7.795778203388257,1.4410980770403807,-0.4871904863567972,-0.35585751646944,1.562290883859949
15,330,6,-453.612525,-455.1238492688,-455.13925148,22222ud0,0.471505,-0.686662,22222ud0,-0.8208,0.67371,4.4093,1,6.742449639109608,6.379840895694619,-5.054203163759099,-0.7046388490707982,-1.964054971839291,5.467997590581921
15,330,7,-453.605206,-455.0733959164,-455.07039199,22u2220d,0.786798,-0.887017,22u2220d,-0.83118,0.69086,9.9522,1,8.115355992606531,8.253604021879685,0.8976504818836161,-0.6288985985726486,-0.05511343377658494,1.0974184838965475
15,345,1,-453.939157,-455.3713236152,-455.37432958,22222200,0.936796,0.967882,22222200,0.96191,0.92527,5.526,1,0.0,0.0,,,,
15,345,2,-453.723004,-455.1542487342,-455.15382256,222u22d0,0.558695,-0.747459,222u22d0,-0.95114,0.90466,4.4127,1,5.906911416844229,6.000304724028372,-0.09868035993859542,-0.014763150161644506,0.1324782374649262,0.1658500752307755
15,345,3,-453.707846,-455.1550943552,-455.15597441,22u2220d,0.565255,-0.751835,22u2220d,-0.94769,0.89811,4.1877,1,5.88390088556493,5.941749872937872,-0.08824781779919483,-0.07877522365906227,0.19467107249603513,0.22779385344231629
15,345,4,-453.637179,-455.1275824547,-455.12405954,2222u20d,0.660468,-0.812692,2222u20d,0.62598,0.39186,1.8847,1,6.632538214829916,6.810198166455329,-2.1417368117400675,-0.44748307307551544,-0.39956717396608515,2.2241698690577856
15,345,5,-453.629952,-455.0988250686,-455.09332842,22222u0d,0.802463,0.895803,22222u0d,0.76977,0.59254,6.2556,1,7.415066950952535,7.6464349652244525,1.0183649353421984,-0.8292489528689359,-0.11400339936358832,1.3182252246756945
15,345,6,-453.610194,-455.1204422759,-455.13666564,22222ud0,0.60829,0.77993,22222ud0,0.74621,0.55682,0.80037,1,6.826832476228244,6.467168536916121,-4.247771949087065,-0.9624715165101054,-1.1377252272172746,4.501592681265504
15,345,7,-453.607461,-455.0915000797,-455.08083644,222u220d,0.764083,-0.874119,222u220d,-0.72911,0.5316,6.9733,1,7.614390153905868,7.986359229796261,-3.1101983957545447,-0.067082817392542,-0.7009319542718881,3.1889088741816116
30,0,1,-453.942519,-455.3735425493,-455.37666525,22222200,0.937583,0.968289,22222200,0.96197,0.92539,5.5419,1,0.0,0.0,,,,
30,0,2,-453.724966,-455.1547695855,-455.15478437,2222u2d0,0.9174,0.95781,2222u2d0,0.95951,0.92067,4.2865,1,5.953118627147496,6.037689378030854,0.10539055040461959,-0.06494324702126796,0.10396875304989632,0.1616610497743077
30,0,3,-453.7144,-455.1617480465,-455.16188749,22u2220d,0.8741,-0.934933,22u2220d,-0.93936,0.88239,4.2029,1,5.7632249334916335,5.844403538462563,0.12790302676792323,0.11586305279370503,-0.1600175292790045,0.23534876453783904
30,0,4,-453.640284,-455.1252290502,-455.1277321,222u220d,0.560115,-0.748409,222u220d,-0.66985,0.44871,3.3124,1,6.756957949409547,6.773819517909204,-0.7689402067829695,0.960409143589118,-0.25252103106827706,1.255954472672929
30,0,5,-453.633219,-455.1056380412,-455.09753263,22222u0d,0.819412,-0.905214,22222u0d,-0.76776,0.58946,6.3632,1,7.290056731712412,7.595589375867576,2.1148376896018872,-0.4642677224391038,0.6484996823024683,2.260228927758123
30,0,6,-453.614157,-455.0993178796,-455.08720314,2222u20d,0.803162,0.896193,2222u20d,0.7293,0.53188,6.5917,1,7.462037177074693,7.876669260053677,3.205455222439104,0.0690943116892359,-0.19371804496563785,3.2120466837460864
30,0,7,-453.612243,-455.1217096223,-455.1361498,22222ud0,0.567649,0.753425,22222ud0,0.75802,0.5746,1.9822,1,6.8527265097680585,6.544762116129329,4.14031772294742,1.4110100519499005,-0.37004114564271484,4.389773418120451
30,270,1,-453.951436,-455.3749458621,-455.37668463,22222200,0.928049,-0.963353,22222200,-0.96015,0.92189,3.8724,1,0.0,0.0,,,,
30,270,2,-453.751538,-455.1762591146,-455.17708542,2222u20d,0.824395,0.907962,2222u20d,0.9381,0.88003,3.373,1,5.406544560921646,5.431373942993291,0.3552146008702371,-0.053191721564800135,0.07271623154812737,0.36646203387418164
